epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
49,40.0713,0.48769,1.06932,0.4108,0.95569,0.8368,0.68333,0.87621,0.51991,0.87608,0.63959,0.85712,0.45288,1.56184,2.5116,1.03333,1.34544,2.99766e-05,2.99766e-05,2.99766e-05
50,40.7009,0.51215,1.12106,0.51343,0.95282,0.8368,0.68333,0.87621,0.51991,0.87608,0.63959,0.85712,0.45288,1.56184,2.5116,1.03333,1.34544,3.00238e-05,3.00238e-05,3.00238e-05
51,41.3527,0.60006,1.17336,0.40645,0.96746,0.68196,0.86667,0.87589,0.51927,0.66381,0.85,0.85666,0.45563,1.60776,2.50175,1.06051,1.38385,3.00475e-05,3.00475e-05,3.00475e-05
52,41.9998,0.61853,1.22924,0.74824,0.957,0.68196,0.86667,0.87589,0.51927,0.66381,0.85,0.85666,0.45563,1.60776,2.50175,1.06051,1.38385,3.00476e-05,3.00476e-05,3.00476e-05
53,42.6437,0.4332,0.92269,0.41201,0.87002,0.68196,0.86667,0.87589,0.51927,0.66381,0.85,0.85666,0.45563,1.60776,2.50175,1.06051,1.38385,3.00242e-05,3.00242e-05,3.00242e-05
54,43.3159,0.46165,1.13232,0.36347,0.97055,0.68144,0.86667,0.87658,0.51878,0.66613,0.85,0.85458,0.45417,1.64544,2.53686,1.0982,1.41983,2.99772e-05,2.99772e-05,2.99772e-05
55,43.9738,0.5167,1.12459,0.60986,0.94668,0.68144,0.86667,0.87658,0.51878,0.66613,0.85,0.85458,0.45417,1.64544,2.53686,1.0982,1.41983,2.99066e-05,2.99066e-05,2.99066e-05
56,44.624,0.33113,0.89848,0.36268,0.88659,0.68144,0.86667,0.87658,0.51878,0.66613,0.85,0.85458,0.45417,1.64544,2.53686,1.0982,1.41983,2.98125e-05,2.98125e-05,2.98125e-05
57,45.3072,0.53299,1.09707,0.43072,0.90073,0.70184,0.86667,0.87756,0.53615,0.68552,0.85,0.85574,0.45374,1.66285,2.54314,1.11771,1.43264,2.96948e-05,2.96948e-05,2.96948e-05
58,46.1755,0.38906,1.01446,0.39361,0.95354,0.70184,0.86667,0.87756,0.53615,0.68552,0.85,0.85574,0.45374,1.66285,2.54314,1.11771,1.43264,2.95535e-05,2.95535e-05,2.95535e-05
59,46.8134,0.51392,1.26208,0.48072,0.86246,0.70184,0.86667,0.87756,0.53615,0.68552,0.85,0.85574,0.45374,1.66285,2.54314,1.11771,1.43264,2.93887e-05,2.93887e-05,2.93887e-05
60,47.4724,0.62516,1.12665,0.53723,1.05137,0.79771,0.86322,0.87799,0.51746,0.77308,0.84655,0.86053,0.45479,1.65024,2.57923,1.09602,1.40848,2.92003e-05,2.92003e-05,2.92003e-05
61,48.1132,0.43797,0.80631,0.42742,0.83045,0.79771,0.86322,0.87799,0.51746,0.77308,0.84655,0.86053,0.45479,1.65024,2.57923,1.09602,1.40848,2.89884e-05,2.89884e-05,2.89884e-05
62,48.7365,0.33964,0.82534,0.34676,0.82348,0.79771,0.86322,0.87799,0.51746,0.77308,0.84655,0.86053,0.45479,1.65024,2.57923,1.09602,1.40848,2.87529e-05,2.87529e-05,2.87529e-05
63,49.39,0.47025,1.11508,0.49336,0.97467,0.80777,0.85834,0.87814,0.50505,0.78198,0.84167,0.86082,0.43839,1.66917,2.61619,1.12623,1.41752,2.84938e-05,2.84938e-05,2.84938e-05
64,50.0366,0.3931,1.59799,0.4095,0.88268,0.80777,0.85834,0.87814,0.50505,0.78198,0.84167,0.86082,0.43839,1.66917,2.61619,1.12623,1.41752,2.82112e-05,2.82112e-05,2.82112e-05
65,50.6584,0.47079,1.16372,0.44598,0.91234,0.80777,0.85834,0.87814,0.50505,0.78198,0.84167,0.86082,0.43839,1.66917,2.61619,1.12623,1.41752,2.7905e-05,2.7905e-05,2.7905e-05
66,51.3098,0.49961,1.12775,0.70908,0.94724,0.81954,0.85177,0.87727,0.50434,0.7942,0.83445,0.8593,0.4387,1.67244,2.64595,1.13677,1.4228,2.75753e-05,2.75753e-05,2.75753e-05
67,51.9486,0.51808,1.10017,0.52822,1.02397,0.81954,0.85177,0.87727,0.50434,0.7942,0.83445,0.8593,0.4387,1.67244,2.64595,1.13677,1.4228,2.7222e-05,2.7222e-05,2.7222e-05
68,52.789,0.55704,1.08456,0.57637,0.95074,0.81954,0.85177,0.87727,0.50434,0.7942,0.83445,0.8593,0.4387,1.67244,2.64595,1.13677,1.4228,2.68451e-05,2.68451e-05,2.68451e-05
69,53.4904,0.55373,1.02249,0.39264,0.95695,0.80943,0.85222,0.87886,0.50391,0.78027,0.83612,0.85668,0.4377,1.67033,2.69286,1.13959,1.42889,2.64447e-05,2.64447e-05,2.64447e-05
70,54.1678,0.42352,1.11786,0.39737,0.8852,0.80943,0.85222,0.87886,0.50391,0.78027,0.83612,0.85668,0.4377,1.67033,2.69286,1.13959,1.42889,2.60207e-05,2.60207e-05,2.60207e-05
71,54.8085,0.38055,1.06528,0.44387,0.87848,0.80943,0.85222,0.87886,0.50391,0.78027,0.83612,0.85668,0.4377,1.67033,2.69286,1.13959,1.42889,2.55731e-05,2.55731e-05,2.55731e-05
72,55.4748,0.46609,1.74933,0.69775,0.97963,0.80564,0.8531,0.88059,0.50305,0.77586,0.83728,0.85599,0.45389,1.648,2.68963,1.15561,1.42164,2.5102e-05,2.5102e-05,2.5102e-05
73,56.1066,0.41912,0.82487,0.44184,0.87173,0.80564,0.8531,0.88059,0.50305,0.77586,0.83728,0.85599,0.45389,1.648,2.68963,1.15561,1.42164,2.46073e-05,2.46073e-05,2.46073e-05
74,56.7485,0.36508,0.88568,0.30827,0.93355,0.80564,0.8531,0.88059,0.50305,0.77586,0.83728,0.85599,0.45389,1.648,2.68963,1.15561,1.42164,2.40891e-05,2.40891e-05,2.40891e-05
75,57.4161,0.53728,1.0574,0.41336,0.94776,0.80145,0.85389,0.88102,0.50324,0.80145,0.85389,0.87555,0.43934,1.65452,2.70357,1.16814,1.42853,2.35472e-05,2.35472e-05,2.35472e-05
76,58.0679,0.43864,0.90324,0.35464,0.8573,0.80145,0.85389,0.88102,0.50324,0.80145,0.85389,0.87555,0.43934,1.65452,2.70357,1.16814,1.42853,2.29819e-05,2.29819e-05,2.29819e-05
77,58.7374,0.61201,0.99993,0.48145,0.98134,0.80145,0.85389,0.88102,0.50324,0.80145,0.85389,0.87555,0.43934,1.65452,2.70357,1.16814,1.42853,2.23929e-05,2.23929e-05,2.23929e-05
78,59.427,0.43659,0.93598,0.52792,0.92044,0.79847,0.85874,0.88072,0.50339,0.78598,0.85,0.86702,0.4548,1.64897,2.70745,1.19643,1.43181,2.17805e-05,2.17805e-05,2.17805e-05
79,60.0891,0.5221,0.94032,0.58281,0.98212,0.79847,0.85874,0.88072,0.50339,0.78598,0.85,0.86702,0.4548,1.64897,2.70745,1.19643,1.43181,2.11444e-05,2.11444e-05,2.11444e-05
80,60.9149,0.36925,1.18371,0.33559,0.8515,0.79847,0.85874,0.88072,0.50339,0.78598,0.85,0.86702,0.4548,1.64897,2.70745,1.19643,1.43181,2.04848e-05,2.04848e-05,2.04848e-05
81,61.5909,0.43036,0.88981,0.343,0.94683,0.79951,0.85677,0.88095,0.51982,0.78983,0.85,0.86708,0.45525,1.66876,2.6934,1.21428,1.43917,1.98016e-05,1.98016e-05,1.98016e-05
82,62.237,0.38047,0.9737,0.31419,0.96651,0.79951,0.85677,0.88095,0.51982,0.78983,0.85,0.86708,0.45525,1.66876,2.6934,1.21428,1.43917,1.90949e-05,1.90949e-05,1.90949e-05
83,62.8826,0.4513,1.02393,0.59083,1.05004,0.79951,0.85677,0.88095,0.51982,0.78983,0.85,0.86708,0.45525,1.66876,2.6934,1.21428,1.43917,1.83646e-05,1.83646e-05,1.83646e-05
84,63.5604,0.38474,0.7797,0.43219,0.85767,0.80308,0.85512,0.87998,0.52062,0.79576,0.85,0.86534,0.43822,1.68454,2.74811,1.21955,1.44862,1.76107e-05,1.76107e-05,1.76107e-05
85,64.2072,0.40554,1.0335,0.52081,0.90776,0.80308,0.85512,0.87998,0.52062,0.79576,0.85,0.86534,0.43822,1.68454,2.74811,1.21955,1.44862,1.68333e-05,1.68333e-05,1.68333e-05
