epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,5018.18,1.30432,1.20862,1.54084,0.66469,0.45058,0.48528,0.22899,1.76214,1.38213,1.73335,0.00171488,0.00171488,0.00171488
74,5086.1,1.31402,1.1888,1.51567,0.69359,0.46135,0.50527,0.2498,1.73172,1.32841,1.70811,0.00171092,0.00171092,0.00171092
75,5153.8,1.28371,1.16764,1.51458,0.70878,0.46439,0.51421,0.24989,1.82366,1.32245,1.76249,0.00170696,0.00170696,0.00170696
76,5221.49,1.28941,1.1764,1.52697,0.70099,0.46463,0.50415,0.24064,1.77838,1.34245,1.72663,0.001703,0.001703,0.001703
77,5288.78,1.29163,1.17437,1.51882,0.68052,0.4742,0.50736,0.25095,1.72726,1.32871,1.68717,0.00169904,0.00169904,0.00169904
78,5355.57,1.30123,1.16379,1.53219,0.69243,0.47261,0.5187,0.24852,1.7557,1.3376,1.71442,0.00169508,0.00169508,0.00169508
79,5422.77,1.3126,1.19446,1.52602,0.68169,0.45769,0.50391,0.24401,1.77319,1.38883,1.73084,0.00169112,0.00169112,0.00169112
80,5490.35,1.26776,1.15749,1.5106,0.70534,0.46942,0.51848,0.25293,1.77259,1.31274,1.73872,0.00168716,0.00168716,0.00168716
81,5557.62,1.28483,1.18009,1.5234,0.69606,0.44972,0.501,0.24098,1.82775,1.40518,1.76506,0.0016832,0.0016832,0.0016832
82,5624.24,1.26561,1.15765,1.49855,0.70418,0.47917,0.51644,0.24988,1.73064,1.33345,1.70617,0.00167924,0.00167924,0.00167924
83,5690.87,1.28285,1.18942,1.50961,0.6942,0.46501,0.51045,0.24952,1.73853,1.34399,1.70238,0.00167528,0.00167528,0.00167528
84,5757.52,1.26427,1.13395,1.51004,0.7171,0.46135,0.51077,0.25276,1.75255,1.32945,1.72451,0.00167132,0.00167132,0.00167132
85,5826.81,1.28966,1.18487,1.523,0.68689,0.45666,0.49749,0.24156,1.77358,1.36981,1.7261,0.00166736,0.00166736,0.00166736
86,5897.99,1.27071,1.10645,1.48827,0.70672,0.472,0.51455,0.25142,1.75622,1.34125,1.72105,0.0016634,0.0016634,0.0016634
87,5968.69,1.297,1.14612,1.50606,0.69544,0.47531,0.51255,0.2476,1.76813,1.33032,1.73391,0.00165944,0.00165944,0.00165944
88,6038.62,1.26116,1.16406,1.50223,0.70904,0.46266,0.5102,0.25011,1.78037,1.35415,1.7164,0.00165548,0.00165548,0.00165548
89,6150.48,1.2265,1.1249,1.47813,0.70027,0.46914,0.51696,0.25417,1.7403,1.33786,1.71391,0.00165152,0.00165152,0.00165152
90,6226.47,1.27865,1.14017,1.51273,0.71475,0.46435,0.51107,0.24299,1.82846,1.40528,1.77612,0.00164756,0.00164756,0.00164756
91,6302.76,1.28732,1.13649,1.48968,0.70835,0.47871,0.52286,0.25722,1.73685,1.31306,1.71919,0.0016436,0.0016436,0.0016436
92,6392.19,1.28406,1.13554,1.49709,0.70827,0.45197,0.49949,0.24102,1.82239,1.35721,1.74596,0.00163964,0.00163964,0.00163964
93,6477.93,1.26896,1.1317,1.49591,0.71041,0.47814,0.52193,0.2556,1.73816,1.29066,1.69993,0.00163568,0.00163568,0.00163568
94,6599.43,1.29775,1.14617,1.50323,0.70878,0.46285,0.50874,0.2513,1.74208,1.2756,1.69688,0.00163172,0.00163172,0.00163172
95,6747.5,1.27496,1.13439,1.48296,0.7325,0.46426,0.51313,0.25806,1.74123,1.32113,1.70466,0.00162776,0.00162776,0.00162776
96,6817.53,1.2431,1.1212,1.46259,0.72488,0.46245,0.51278,0.24961,1.77506,1.31242,1.72823,0.0016238,0.0016238,0.0016238
97,6891.31,1.2616,1.11594,1.48335,0.71953,0.45694,0.51018,0.24659,1.85084,1.37098,1.7725,0.00161984,0.00161984,0.00161984
98,6968.51,1.25758,1.12736,1.49182,0.72624,0.45666,0.50531,0.24463,1.79815,1.33886,1.7489,0.00161588,0.00161588,0.00161588
99,7133.22,1.27327,1.15101,1.48964,0.71338,0.46379,0.50984,0.24909,1.81773,1.33557,1.73165,0.00161192,0.00161192,0.00161192
100,7204.09,1.25505,1.24351,1.4653,0.72556,0.47271,0.51064,0.25047,1.77448,1.29057,1.71774,0.00160796,0.00160796,0.00160796
101,7278.37,1.24983,1.14103,1.49017,0.70976,0.46998,0.51992,0.25645,1.74238,1.3181,1.70055,0.001604,0.001604,0.001604
102,7346.01,1.24094,1.11459,1.47946,0.70048,0.4673,0.50827,0.25374,1.7472,1.3486,1.71726,0.00160004,0.00160004,0.00160004
